estimate,value,method,samples,i
ψ,1.4953397485661573,onestep,1668,14
σ2,0.0004039910235782901,onestep,1668,14
σ2net,0.000414645158605906,onestep,1668,14
σ2boot,NaN,onestep,1668,14
ψ,1.4888616732897206,tmle,1668,14
σ2,0.00040264403202866847,tmle,1668,14
σ2net,0.00044292519398675287,tmle,1668,14
σ2boot,NaN,tmle,1668,14
ψ,1.4734158914918134,plugin_iid,1668,14
σ2boot,NaN,plugin_iid,1668,14
ψ,1.4581847073156746,ipw_iid,1668,14
σ2,0.0005836750800701374,ipw_iid,1668,14
σ2net,0.0005836750800701374,ipw_iid,1668,14
σ2boot,NaN,ipw_iid,1668,14
stabilized,false,ipw_iid,1668,14
ψ,1.4519482893226707,sipw_iid,1668,14
σ2,0.0003981270194821318,sipw_iid,1668,14
σ2net,0.0003981270194821317,sipw_iid,1668,14
σ2boot,NaN,sipw_iid,1668,14
stabilized,true,sipw_iid,1668,14
ψ,1.4709818593173263,onestep_iid,1668,14
σ2,0.0004322403079313338,onestep_iid,1668,14
σ2net,0.00043224030793133405,onestep_iid,1668,14
σ2boot,NaN,onestep_iid,1668,14
ψ,1.481854920220765,tmle_iid,1668,14
σ2,0.0003997874110710235,tmle_iid,1668,14
σ2net,0.0003997874110710237,tmle_iid,1668,14
σ2boot,NaN,tmle_iid,1668,14
ψ,1.4731464084024697,ols,1668,14
σ2,0.0015789535410344114,ols,1668,14
σ2net,0.0015789535410344114,ols,1668,14
ψ,1.5117364235266544,plugin,1668,15
σ2boot,NaN,plugin,1668,15
ψ,1.4656664200268912,ipw,1668,15
σ2,0.0006216136296826872,ipw,1668,15
σ2net,0.0007847285019410768,ipw,1668,15
σ2boot,NaN,ipw,1668,15
stabilized,false,ipw,1668,15
ψ,1.4739007881023618,sipw,1668,15
σ2,0.0004416845723261819,sipw,1668,15
σ2net,0.0006395814345682877,sipw,1668,15
σ2boot,NaN,sipw,1668,15
stabilized,true,sipw,1668,15
ψ,1.5104757798014878,onestep,1668,15
σ2,0.000430474328117943,onestep,1668,15
σ2net,0.000580045358692414,onestep,1668,15
